"level,""en"",""ja"",""ex"",""sEn"",""sJa"""
"800,""Affluent"",""裕福な、豊富な"",""お金や物が豊かにある様子。"",""They live in an affluent neighborhood."",""彼らは裕福な地域に住んでいます。"""
"800,""Aggregate"",""総計の、集める"",""全体を一つにまとめた合計のこと。"",""The aggregate cost was very high."",""総費用は非常に高額でした。"""
"800,""Align"",""提携させる、一列にする"",""目標や方針を一致させること。"",""We need to align our strategies."",""私たちは戦略を一致させる必要があります。"""
"800,""Amend"",""修正する"",""法律や契約書などの文書を改めること。"",""The contract was amended last week."",""契約は先週修正されました。"""
"800,""Apparent"",""明白な、見たところ〜らしい"",""誰の目にも明らかな様子。"",""It became apparent that he was lying."",""彼が嘘をついていることが明白になった。"""
"800,""Archive"",""記録保管所、アーカイブ"",""古い文書やデータを保存しておく場所。"",""The documents are stored in the archive."",""文書はアーカイブに保管されています。"""
"800,""Array"",""ズラリと並んだもの、配列"",""多数のものが整然と配置されている様子。"",""The store offers a wide array of products."",""その店は幅広い品揃えを提供しています。"""
"800,""Assemble"",""組み立てる、集める"",""部品を合わせたり、人を一か所に呼ぶこと。"",""It took two hours to assemble the desk."",""机を組み立てるのに2時間かかりました。"""
"800,""Audit"",""監査、会計監査"",""会社の財務記録を公式に検査すること。"",""The company faces an annual tax audit."",""会社は年に一度の税務監査を受けます。"""
"800,""Authentic"",""本物の、信頼できる"",""偽物ではない、真実に基づいていること。"",""This is an authentic Italian restaurant."",""ここは本物のイタリアンレストランです。"""
"800,""Autonomy"",""自主性、自治"",""他人の干渉を受けずに自分で決定する権利。"",""Employees are given a lot of autonomy."",""従業員には多くの自主性が与えられています。"""
"800,""Backlog"",""未処理の山"",""溜まってしまった仕事や注文のこと。"",""We have a huge backlog of orders."",""注文の巨大な未処理の山があります。"""
"800,""Baffle"",""困惑させる"",""人をひどく混乱させたり悩ませたりすること。"",""The sudden change in policy baffled everyone."",""突然の方針変更は皆を困惑させた。"""
"800,""Beneficiary"",""受取人、受益者"",""保険金や遺産などを受け取る人。"",""She is the sole beneficiary of the policy."",""彼女がその保険の唯一の受取人です。"""
"800,""Bias"",""偏見、先入観"",""特定の考えに偏っていること。"",""We must avoid any bias in our hiring process."",""採用プロセスにおいてはいかなる偏見も避けなければなりません。"""
"800,""Blueprint"",""青写真、詳細な計画"",""建物の設計図や、将来の計画。"",""They presented a blueprint for the new project."",""彼らは新プロジェクトの青写真を提示しました。"""
"800,""Breach"",""違反、不履行"",""契約や約束を破ること。"",""This is a clear breach of contract."",""これは明らかな契約違反です。"""
"800,""Breakthrough"",""大躍進、画期的な発見"",""行き詰まりを打破する大きな進歩。"",""Scientists made a major breakthrough."",""科学者たちは大きな躍進を遂げました。"""
"800,""Bureaucracy"",""官僚制度、お役所仕事"",""手続きが面倒で複雑な組織の仕組み。"",""We want to reduce unnecessary bureaucracy."",""不要なお役所仕事を減らしたいと考えています。"""
"800,""Catalyst"",""触媒、きっかけ"",""変化や出来事を引き起こす要因。"",""The new manager acted as a catalyst for change."",""新しいマネージャーは変化のきっかけとして機能しました。"""
"800,""Cater"",""料理をまかなう、要求を満たす"",""イベント等で食事を提供したり、要望に応じること。"",""The hotel caters to business travelers."",""そのホテルは出張客の要求を満たしています。"""
"800,""Certify"",""証明する、保証する"",""公式に正しいと認めること。"",""This document certifies that you have passed."",""この文書はあなたが合格したことを証明します。"""
"800,""Clarification"",""明確化、説明"",""不明な点をはっきりさせること。"",""I am writing to ask for clarification on the invoice."",""請求書についての説明を求めるためにメールしています。"""
"800,""Coherent"",""筋の通った、一貫した"",""論理的で分かりやすい様子。"",""He presented a coherent business strategy."",""彼は筋の通ったビジネス戦略を提示しました。"""
"800,""Collaborate"",""協力する、共同で行う"",""複数の人や組織が共に作業すること。"",""The two companies collaborated on the project."",""その2社はプロジェクトで協力しました。"""
"800,""Compile"",""編集する、まとめる"",""様々な場所から情報を集めて一つの資料にすること。"",""She compiled a list of potential clients."",""彼女は潜在顧客のリストをまとめました。"""
"800,""Concede"",""譲歩する、認める"",""しぶしぶ事実を認めたり、権利を譲ること。"",""The CEO finally conceded that mistakes were made."",""CEOはついにミスがあったことを認めました。"""
"800,""Conclusive"",""決定的な、疑う余地のない"",""議論を終わらせるほどの確実な証拠など。"",""We have conclusive evidence of his innocence."",""彼の無実を証明する決定的な証拠があります。"""
"800,""Affiliate"",""提携する、系列会社"",""企業などが協力関係を結ぶこと。"",""The hospital is affiliated with the university."",""その病院は大学と提携しています。"""
"800,""Aggravate"",""悪化させる"",""問題や病気などをさらにひどくすること。"",""Stress can aggravate the condition."",""ストレスは症状を悪化させる可能性があります。"""
"800,""Allege"",""（証拠なしに）主張する"",""十分な証拠がないまま断言すること。"",""He is alleged to have stolen the money."",""彼はそのお金を盗んだと主張されています。"""
"800,""Allot"",""割り当てる、分配する"",""時間や資金などを特定の目的のために分けること。"",""We were allotted one hour for the test."",""私たちはテストに1時間を割り当てられました。"""
"800,""Ambiguous"",""曖昧な"",""意味が複数に取れる、はっきりしない様子。"",""His answer to the question was ambiguous."",""質問に対する彼の答えは曖昧でした。"""
"800,""Ample"",""十分な、豊富な"",""必要以上の量やスペースがあること。"",""There is ample parking space available."",""十分な駐車スペースが利用可能です。"""
"800,""Anomaly"",""例外、変則、異例"",""通常や標準から外れていること。"",""There is an anomaly in the data."",""データに異常値（例外）があります。"""
"800,""Anonymous"",""匿名の"",""名前が伏せられている、または名前がないこと。"",""The donation was made by an anonymous benefactor."",""その寄付は匿名の支援者によって行われました。"""
"800,""Apprehensive"",""懸念して、心配して"",""将来のことについて不安を感じている様子。"",""She is apprehensive about the upcoming interview."",""彼女は今度の面接を心配しています。"""
"800,""Ascend"",""上がる、登る"",""上に向かって移動すること。昇進する意味もある。"",""The elevator ascended to the top floor."",""エレベーターは最上階へ上がった。"""
"800,""Assure"",""保証する、安心させる"",""人に自信や安心感を与えること。"",""I assure you that the product is safe."",""製品は安全であると保証します。"""
"800,""Autograph"",""サイン、自筆の署名"",""有名人のサインや、自分で書いた署名。"",""Could I get your autograph?"",""あなたのサインを頂けますか？"""
"800,""Barren"",""不毛の、利益を生まない"",""土地が作物を産まない、または成果が出ないこと。"",""The company abandoned the barren project."",""会社はその不毛なプロジェクトを中止した。"""
"800,""Benevolent"",""慈悲深い、親切な"",""他人のために善意を持って行動する様子。"",""The hospital was funded by a benevolent donor."",""その病院は慈悲深い寄付者によって資金提供された。"""
"800,""Boycott"",""不買運動、ボイコット"",""抗議のために製品を買わない、または参加を拒否すること。"",""Consumers decided to boycott the brand."",""消費者たちはそのブランドの不買運動を決定した。"""
"800,""Bulletin"",""掲示、会報"",""短い公式なニュースや社内報のこと。"",""Please read the latest bulletin."",""最新の社内報を読んでください。"""
"800,""Caliber"",""能力、優秀さ"",""人の能力や品質の高さのこと。"",""We need an executive of his caliber."",""彼のような優秀な（能力の）幹部が必要です。"""
"800,""Cease"",""中止する、終わる"",""stopのフォーマルな表現。"",""The factory ceased operations last year."",""その工場は昨年操業を停止しました。"""
"800,""Chronic"",""慢性の、長期にわたる"",""病気や問題が長引いていること。"",""He suffers from a chronic back pain."",""彼は慢性の腰痛に苦しんでいます。"""
"800,""Circulation"",""発行部数、循環"",""新聞などの発行数や、血液・空気などの巡り。"",""The newspaper has a large circulation."",""その新聞は発行部数が多いです。"""
"800,""Cohesion"",""結束、結合"",""チームや組織がしっかりまとまっていること。"",""The team showed great cohesion."",""チームは素晴らしい結束力を示しました。"""
"800,""Collateral"",""担保"",""借金をする際に保証として差し出すもの。"",""He used his house as collateral for the loan."",""彼は家をローンの担保にした。"""
"800,""Commodity"",""商品、日用品"",""農業生産物や鉱物などの取引される品物。"",""Oil is a highly traded commodity."",""石油は頻繁に取引される商品です。"""
"800,""Commemorate"",""記念する、祝う"",""特別な出来事や人を思い出して祝うこと。"",""The ceremony will commemorate the founders."",""その式典は創設者たちを記念して行われます。"""
"800,""Compassion"",""思いやり、同情"",""他人の苦しみに対する深い共感と助けたいという気持ち。"",""She showed great compassion for the poor."",""彼女は貧しい人々への大きな思いやりを示した。"""
"800,""Compel"",""強いる、無理に〜させる"",""力や状況によって人に何かを強制すること。"",""The heavy rain compelled us to stay indoors."",""大雨のため、私たちは屋内に留まらざるを得なかった。"""
"800,""Complement"",""補完する、引き立てる"",""足りない部分を補って完璧にすること。"",""The wine perfectly complements the dish."",""そのワインは料理を完璧に引き立てます。"""
"800,""Comprehend"",""理解する"",""understandよりも深く本質を掴むこと。"",""It is hard to comprehend the complex theory."",""その複雑な理論を理解するのは難しいです。"""
"800,""Concession"",""譲歩、特権"",""議論の末に相手に譲ること、または販売権など。"",""We had to make several concessions."",""私たちはいくつか譲歩しなければませんでした。"""
"800,""Concurrent"",""同時の、並行する"",""2つ以上の出来事が同時に起こっている様子。"",""There are three concurrent sessions at the conference."",""会議では3つのセッションが同時進行しています。"""
"800,""Condone"",""大目に見る、許す"",""悪い行動などを咎めずに見逃すこと。"",""We cannot condone such unacceptable behavior."",""そのような容認できない行動を大目に見ることはできません。"""
"800,""Confer"",""協議する、授与する"",""誰かと意見を交わすことや、学位などを与えること。"",""I need to confer with my colleagues."",""同僚と協議する必要があります。"""
"800,""Confiscate"",""没収する、押収する"",""権力によって個人の財産を取り上げること。"",""The guard confiscated the prohibited items."",""警備員は禁止品を没収しました。"""
"800,""Conform"",""従う、一致する"",""規則や習慣などに合わせること。"",""All products must conform to safety standards."",""全製品は安全基準に従わなければなりません。"""
"800,""Congestion"",""混雑、密集"",""交通の渋滞や人が密集している状態。"",""Traffic congestion is a major problem here."",""交通渋滞はここでの大きな問題です。"""
"800,""Conjunction"",""結合、連係"",""in conjunction with（〜と共同で）の形でよく使われる。"",""The event was held in conjunction with the city."",""イベントは市と共同で開催されました。"""
"800,""Consolidate"",""統合する、強固にする"",""複数のものを1つにまとめたり、地位を固めたりすること。"",""We decided to consolidate our two offices."",""私たちは2つのオフィスを統合することに決めました。"""
"800,""Consortium"",""共同企業体、合弁企業"",""共通の目的のために集まった企業や組織の集団。"",""A consortium of banks provided the loan."",""銀行の共同企業体が融資を提供しました。"""
"800,""Conspicuous"",""目立つ、人目を引く"",""他と違って簡単に気づくことができる様子。"",""He was conspicuous by his absence."",""彼は不在であったことで逆に目立っていた。"""
"800,""Constitute"",""構成する、〜となる"",""全体を作り上げる要素になること。"",""Women constitute 40% of the workforce."",""女性が労働人口の40%を構成しています。"""
"800,""Contemplate"",""熟考する、じっくり考える"",""将来のことなどを時間をかけて深く考えること。"",""I need time to contemplate your offer."",""あなたの提案を熟考する時間が必要です。"""
"800,""Contend"",""主張する、競う"",""困難に立ち向かうことや、自分の意見を強く言うこと。"",""He contends that the system is flawed."",""彼はそのシステムには欠陥があると主張しています。"""
"800,""Contingent"",""依存する、不測の、代表団"",""何かに左右されること。contingent on 〜（〜次第で）。"",""The success is contingent on his approval."",""成功は彼の承認にかかっています。"""
"800,""Contradict"",""矛盾する、否定する"",""反対の意見を言ったり、つじつまが合わないこと。"",""His statement contradicts the facts."",""彼の発言は事実と矛盾しています。"""
"800,""Controversy"",""論争、議論"",""意見が大きく分かれる社会的な問題についてのもめごと。"",""The new policy caused a lot of controversy."",""新方針は多くの論争を引き起こしました。"""
"800,""Converge"",""集中する、収束する"",""複数のものが一点に向かって集まること。"",""The two roads converge at the bridge."",""その2つの道は橋のところで合流（収束）します。"""
"800,""Cordial"",""心からの、友好的な"",""心のこもった温かい態度のこと。"",""We received a cordial welcome."",""私たちは心からの歓迎を受けました。"""
"800,""Correlate"",""相関する、関連づける"",""2つの物事の間に密接な関係があること。"",""High stress often correlates with poor health."",""高いストレスはしばしば健康不良と相関します。"""
"800,""Corroborate"",""確証する、裏付ける"",""証拠などを提供して正しさを強めること。"",""The witness corroborated his story."",""目撃者が彼の話を裏付けました。"""
"800,""Credible"",""信用できる、確かな"",""情報や人が信じるに足る様子。"",""We need a credible source of information."",""信頼できる情報源が必要です。"""
"800,""Criterion"",""基準"",""判断や評価のための基準（複数形はcriteria）。"",""Cost is the main criterion for our choice."",""費用が私たちの選択の主な基準です。"""
"800,""Cumulative"",""累積する、蓄積された"",""次々と重なって増えていく様子。"",""The cumulative effect of the policy is significant."",""その政策の累積的な効果は大きいです。"""
"800,""Curb"",""抑制する"",""よくないことの広がりを抑え込むこと。"",""We must take measures to curb inflation."",""インフレを抑制する対策を講じなければなりません。"""
"800,""Cynical"",""皮肉な、冷笑的な"",""人の善意や物事の成功を信じない様子。"",""He has a cynical view of the industry."",""彼は業界に対して皮肉な見方をしています。"""
"800,""Decipher"",""解読する"",""暗号や読みにくい文字などを読み解くこと。"",""It is difficult to decipher his handwriting."",""彼の筆跡を解読するのは困難です。"""
"800,""Deduce"",""推論する"",""事実や前提から論理的に結論を導き出すこと。"",""What can we deduce from these figures?"",""これらの数値から何を推論できますか？"""
"800,""Deem"",""見なす、考える"",""ある状態や性質であると判断すること。"",""The event was deemed a great success."",""そのイベントは大成功と見なされました。"""
"800,""Defer"",""延期する"",""postponeと同様、決定や実行を遅らせること。"",""The committee decided to defer the decision."",""委員会は決定を延期することにしました。"""
"800,""Deficient"",""欠陥のある、不足した"",""必要なものや量が足りていない状態。"",""Their security system is deficient."",""彼らのセキュリティシステムは欠陥があります。"""
"800,""Demise"",""終焉、消滅"",""活動の終わりや、企業などの倒産。"",""The scandal led to the demise of the company."",""そのスキャンダルが会社の終焉を招きました。"""
"800,""Demographic"",""人口統計の、顧客層"",""年齢や性別などのデータ、またはその層。"",""Our target demographic is young adults."",""私たちのターゲット層は若者です。"""
"800,""Denounce"",""公然と非難する"",""強い言葉で公式に批判すること。"",""The action was widely denounced by the media."",""その行動はメディアから広く非難されました。"""
"800,""Depict"",""描く、描写する"",""絵や言葉で正確に表現すること。"",""The report depicts a gloomy economic outlook."",""その報告書は暗い経済の見通しを描写しています。"""
"800,""Derive"",""引き出す、由来する"",""何かから利益を得たり、源から派生すること。"",""They derive much of their income from exports."",""彼らは収入の多くを輸出から得ています。"""
"800,""Detrimental"",""有害な、不利益な"",""損害や悪影響を与える様子。"",""Smoking is detrimental to your health."",""喫煙は健康に有害です。"""
"800,""Devastate"",""壊滅させる、打ちのめす"",""物理的に破壊したり、精神的に深いショックを与えること。"",""The hurricane devastated the coastal area."",""ハリケーンが沿岸地域を壊滅させました。"""
"800,""Deviation"",""逸脱、偏り"",""通常の基準や規則から外れること。"",""Any deviation from the rules is strictly prohibited."",""規則からのいかなる逸脱も厳しく禁じられています。"""
"800,""Dictate"",""指示する、決定づける"",""権力を持って命令する、または状況が結果を決めること。"",""The market will dictate the price."",""市場が価格を決定づけます。"""
"800,""Dilemma"",""ジレンマ、板挟み"",""2つの好ましくない選択肢の間で悩むこと。"",""We are facing a serious dilemma."",""私たちは深刻なジレンマに直面しています。"""
"800,""Dire"",""悲惨な、極めて深刻な"",""状況が非常に悪く、緊急を要する様子。"",""The refugees are in dire need of food."",""難民は食料を極めて深刻に必要としています。"""
"800,""Disburse"",""支払う"",""資金や予算からお金を支出すること。"",""The funds will be disbursed tomorrow."",""資金は明日支払われます。"""
"800,""Discharge"",""解放する、排出する"",""義務から解かれたり、気体・液体を出したりすること。"",""He was discharged from the hospital."",""彼は病院から退院（解放）しました。"""
"800,""Discourse"",""談話、論考"",""真面目な話し合いや、学術的な論文。"",""The discourse on climate change continues."",""気候変動に関する論議は続いています。"""
"800,""Discrete"",""個別の、分離した"",""それぞれが独立していて連続していないこと。"",""The data is divided into discrete categories."",""データは個別のカテゴリーに分けられています。"""
"800,""Disparity"",""格差、不均衡"",""賃金や待遇などの大きな違いのこと。"",""There is a growing wealth disparity."",""拡大する富の格差が存在します。"""
"800,""Disperse"",""分散させる"",""人や物が広い範囲に散らばること。"",""The crowd began to disperse."",""群衆は分散し始めました。"""
"800,""Disrupt"",""混乱させる、中断させる"",""正常な進行を妨げること。"",""The strike disrupted train services."",""ストライキが列車の運行を混乱させました。"""
"800,""Dissipate"",""散らす、浪費する"",""霧や感情が消え去る、またはお金を無駄遣いすること。"",""His anger quickly dissipated."",""彼の怒りはすぐに消え去った。"""
"800,""Distort"",""歪める"",""事実や形を本来のものとは違った形に曲げること。"",""The media distorted his words."",""メディアは彼の言葉を歪めました。"""
"800,""Dividend"",""配当、恩恵"",""株主に分配される利益や、行動による見返り。"",""The company pays a high dividend."",""その会社は高い配当を支払っています。"""
"800,""Domain"",""領域、分野"",""知識や活動の範囲、またはインターネットのドメイン。"",""This falls outside my domain of expertise."",""これは私の専門領域外に該当します。"""
"800,""Dominant"",""支配的な、優勢な"",""他よりも影響力が強く、力を持っている様子。"",""They have a dominant position in the market."",""彼らは市場で支配的な立場にあります。"""
"800,""Drastic"",""徹底的な、劇的な"",""変化や行動が思い切っていて極端なこと。"",""Drastic measures are needed."",""徹底的な対策が必要です。"""
"800,""Duplicate"",""複製する、全く同じの"",""オリジナルと全く同じものを作ること。"",""Please duplicate this form."",""この用紙を複製してください。"""
"800,""Eclipse"",""影を薄くさせる"",""他を凌駕して目立たなくさせること。"",""His success eclipsed her achievements."",""彼の成功が彼女の業績を影の薄いものにした。"""
"800,""Efficacy"",""効力、有効性"",""薬や計画などが期待通りの結果を出す能力。"",""The efficacy of the drug was proven."",""その薬の有効性が証明されました。"""
"800,""Elevate"",""引き上げる、昇進させる"",""地位やレベルを高い状態へ持ち上げること。"",""They decided to elevate him to director."",""彼らは彼を取締役に引き上げることを決定しました。"""
"800,""Eminent"",""著名な、優れた"",""その分野で高く評価され、名を知られていること。"",""He is an eminent scientist."",""彼は著名な科学者です。"""
"800,""Empathy"",""共感、感情移入"",""他人の感情を自分ごとのように理解する能力。"",""A good manager should have empathy."",""優れたマネージャーは共感力を持つべきです。"""
"800,""Empirical"",""経験的な、実証的な"",""理論だけでなく、実際の観察や経験に基づいていること。"",""We have empirical evidence to prove it."",""それを証明する実証的な証拠があります。"""
"800,""Endow"",""授ける、寄付する"",""才能を生まれつき与えられている、または基金を贈ること。"",""He is endowed with great musical talent."",""彼は素晴らしい音楽の才能を授かっています。"""
"800,""Entity"",""実体、独立した存在"",""企業や組織など、独立して存在するもの。"",""The two departments operate as separate entities."",""その2つの部門は別個の実体として運営されています。"""
"800,""Entrepreneurial"",""起業家精神の"",""新しいビジネスに挑戦し、リスクを取るような姿勢。"",""She has strong entrepreneurial skills."",""彼女には強い起業家としてのスキルがあります。"""
"800,""Envision"",""思い描く"",""将来の可能性などを心の中で想像すること。"",""They envision a world without poverty."",""彼らは貧困のない世界を思い描いています。"""
"800,""Epicenter"",""震源地、中心"",""地震の中心や、問題が起きている核心部分。"",""The city became the epicenter of the crisis."",""その都市は危機の震源地となりました。"""
"800,""Equity"",""公平、純資産"",""誰もが公平に扱われること、または企業の自己資本。"",""The company strives for gender equity."",""その会社は男女の公平性を追求しています。"""
"800,""Equivalent"",""同等の、相当するもの"",""価値や意味がほぼ同じであること。"",""One mile is equivalent to 1.6 kilometers."",""1マイルは1.6キロメートルに相当します。"""
"800,""Escalate"",""段階的に拡大する"",""問題や価格が徐々に悪化・上昇していくこと。"",""The conflict escalated quickly."",""その紛争は急速に拡大した。"""
"800,""Ethics"",""倫理、道徳"",""社会的なルールやビジネス上守るべき道徳観。"",""We strictly follow business ethics."",""私たちはビジネスの倫理を厳格に守ります。"""
"800,""Evoke"",""呼び起こす"",""記憶や感情などを引き出すこと。"",""The music evoked memories of my youth."",""その音楽は私の青春時代の記憶を呼び起こしました。"""
"800,""Evolve"",""進化する、発展させる"",""状況に合わせて徐々に変化し、成長すること。"",""The company has evolved into a global leader."",""その会社は世界的なリーダーへと進化しました。"""
"800,""Expenditure"",""支出、経費"",""公共の資金やエネルギーなどの消費額。"",""We must limit our monthly expenditure."",""毎月の支出を制限しなければなりません。"""
"800,""Explicate"",""詳しく説明する"",""理論や文書の意味を詳細に解釈・説明すること。"",""The professor explicated the complex theory."",""教授はその複雑な理論を詳しく説明しました。"""
"800,""Exquisite"",""非常に美しい、精巧な"",""細部までこだわって作られた、極上の品質。"",""The hotel provides exquisite service."",""そのホテルは極上のサービスを提供しています。"""
"800,""Extinguish"",""消す、絶やす"",""火を消す、または希望や権利を消滅させること。"",""They managed to extinguish the fire quickly."",""彼らは迅速に火を消し止めました。"""
"800,""Fabricate"",""捏造する、組み立てる"",""嘘をでっち上げる、または部品を製造すること。"",""He was accused of fabricating data."",""彼はデータの捏造で告発されました。"""
"800,""Facet"",""側面、相"",""物事や問題の持つ一つの側面。"",""Let's look at every facet of the problem."",""問題のあらゆる側面を見てみましょう。"""
"800,""Fallacy"",""誤った考え、謬説"",""論理的に間違っているが、正しいと信じられていること。"",""It is a common fallacy that more money brings more happiness."",""お金が増えれば幸せが増えるというのは、よくある誤解です。"""
"800,""Fiscal"",""会計の、財政の"",""国の予算や企業の会計年度に関する用語。"",""Our fiscal year ends in March."",""当社の会計年度は3月に終わります。"""
"800,""Flaw"",""欠陥、不備"",""完璧なものの中にある小さな傷や、計画の弱点。"",""There is a serious flaw in the new system."",""新システムには重大な欠陥があります。"""
"800,""Fluctuation"",""変動、ゆらぎ"",""価格や数値が不規則に上下すること。"",""The fluctuation of exchange rates affects trade."",""為替レートの変動は貿易に影響を与えます。"""
"800,""Forthcoming"",""来たるべき、隠さない"",""まもなく起こること、または情報提供に積極的なこと。"",""Details of the forthcoming event are online."",""今度のイベントの詳細はオンラインにあります。"""
"800,""Fortify"",""強化する"",""守りや組織をより強固にすること。"",""The company is working to fortify its market position."",""その会社は市場での地位を強化するために取り組んでいます。"""
"800,""Generic"",""一般的な、ノーブランドの"",""特定の商標がない、または全体に共通する性質。"",""The doctor prescribed a generic drug."",""医師はジェネリック薬品（後発薬）を処方しました。"""
"800,""Halt"",""停止する、止める"",""活動や進行を一時的に、あるいは完全に止めること。"",""Production was halted due to a power outage."",""停電のため生産が停止されました。"""
"800,""Hazard"",""危険、障害物"",""事故の原因となり得る危険な要素。"",""Smoking is a serious health hazard."",""喫煙は重大な健康被害（危険）です。"""
"800,""Hinder"",""妨げる、邪魔する"",""進行や発展を遅らせる要因となること。"",""Bad weather hindered the search efforts."",""悪天候が捜索活動を妨げました。"""
"800,""Hospitality"",""おもてなし、厚遇"",""客に対する温かい歓迎やサービス。"",""Thank you for your warm hospitality."",""温かいおもてなしをありがとうございました。"""
"800,""Hypothesis"",""仮説"",""まだ証明されていない、理論上の前提。"",""We need to test this hypothesis."",""この仮説を検証する必要があります。"""
"800,""Illustrate"",""例証する、図解する"",""例を挙げたり、図を使って分かりやすく説明すること。"",""This graph illustrates the growth of the company."",""このグラフは会社の成長を例証しています。"""
"800,""Immense"",""巨大な、計り知れない"",""規模や量が非常に大きいこと。"",""The project cost an immense amount of money."",""そのプロジェクトには莫大な費用がかかりました。"""
"800,""Imminent"",""差し迫った"",""悪いことなどが今にも起こりそうな様子。"",""The threat of a strike is imminent."",""ストライキの脅威が差し迫っています。"""
"800,""Implementation"",""実施、導入"",""計画やシステムを実際に動かすこと。"",""The implementation of the plan took months."",""計画の実施には数ヶ月かかりました。"""
"800,""Incentivize"",""動機付ける、やる気を出させる"",""報酬などを与えて、特定の行動を促すこと。"",""The government aims to incentivize local investment."",""政府は地元への投資を促進（動機付け）しようとしています。"""
"800,""Inclination"",""傾向、好み"",""特定の方向に心が傾くこと。"",""He has an inclination toward creative work."",""彼はクリエイティブな仕事に惹かれる傾向があります。"""
"800,""Inconsistency"",""矛盾、不一致"",""言動やデータが一貫していないこと。"",""We found several inconsistencies in the report."",""報告書の中にいくつかの矛盾点が見つかりました。"""
"800,""Indigenous"",""固有の、土着の"",""その土地にもともと存在していること。"",""The islands are home to many indigenous species."",""その島々には多くの固有種が生息しています。"""
"800,""Indispensable"",""不可欠な"",""絶対に欠かすことができない、極めて重要なもの。"",""Mobile phones have become indispensable tools."",""携帯電話は不可欠な道具となりました。"""
"800,""Inevitable"",""避けられない、必然の"",""どうしても防ぐことができないこと。"",""Some changes are inevitable in business."",""ビジネスにおいて多少の変化は避けられません。"""
"800,""Infrastructure"",""インフラ、基盤施設"",""道路や通信網など、社会の基盤となる設備。"",""The city is investing in new infrastructure."",""市は新しいインフラに投資しています。"""
"800,""Insight"",""洞察、知見"",""物事の本質を深く理解すること。"",""The survey provided valuable insights into user behavior."",""調査はユーザー行動に関する貴重な知見を与えてくれました。"""
"800,""Intact"",""損なわれていない、無傷の"",""全く傷がなく、元の状態のままであること。"",""The building remained intact after the earthquake."",""その建物は地震の後も無傷のままでした。"""
"800,""Interim"",""暫定的な、合間の"",""正式なものが決まるまでの仮の状態。"",""An interim manager was appointed."",""暫定的なマネージャーが任命されました。"""
"800,""Interpretation"",""解釈、通訳"",""意味をどのように捉えるかということ。"",""The law is open to interpretation."",""その法律は解釈の余地があります。"""
"800,""Intuitive"",""直感的な"",""説明がなくても感覚的に理解できる様子。"",""The software has an intuitive interface."",""そのソフトは直感的なインターフェースを備えています。"""
"800,""Invalid"",""無効な"",""法的、あるいは形式的に認められないこと。"",""The password you entered is invalid."",""入力されたパスワードは無効です。"""
"800,""Invariable"",""不変の、いつも変わらない"",""常に同じ状態で、変化しないこと。"",""The results were invariable across all tests."",""結果はすべてのテストで一定（不変）でした。"""
"800,""Inventory"",""在庫、棚卸し"",""商品の在庫状況や、その調査。"",""We need to reduce our excess inventory."",""過剰な在庫を減らす必要があります。"""
"800,""Isolation"",""孤立、分離"",""他から切り離されている状態。"",""The system operates in isolation."",""そのシステムは単独（分離した状態）で動作します。"""
"800,""Judicious"",""賢明な、思慮分別の高い"",""慎重で正しい判断に基づいていること。"",""We need to make a judicious choice."",""私たちは賢明な選択をする必要があります。"""
"800,""Legislative"",""立法の、法律制定の"",""法律を作ることに関する用語。"",""The legislative process can be slow."",""立法プロセスは時間がかかることがあります。"""
"800,""Lobby"",""働きかける、ロビー"",""政治家などに意見を通すよう働きかけること。"",""The group is lobbying for stricter environmental laws."",""その団体は、より厳しい環境法の制定を働きかけています。"""
"800,""Logistics"",""物流、ロジスティクス"",""商品の配送や管理、調達などの流れ。"",""The logistics of the event were well-handled."",""イベントの物流管理はうまく行われました。"""
"800,""Magnitude"",""規模、重大さ"",""事の大きさや、地震の規模。"",""We didn't realize the magnitude of the problem."",""私たちは問題の重大さを認識していませんでした。"""
"800,""Mandate"",""権限、命令"",""公式に与えられた任務や命令。"",""The committee has a mandate to investigate the matter."",""委員会はその件を調査する権限を持っています。"""
"800,""Manifest"",""明らかな、表す"",""はっきりと見える、または感情を表に出すこと。"",""The anger was manifest on his face."",""怒りが彼の顔にありありと現れていました。"""
"800,""Mastery"",""熟達、精通"",""技術や知識を完全に見に付けていること。"",""She has a complete mastery of several languages."",""彼女は数カ国語に完全に精通しています。"""
"800,""Minimize"",""最小限にする"",""リスクや損害をできるだけ小さくすること。"",""Our goal is to minimize waste."",""私たちの目標は無駄を最小限にすることです。"""
"800,""Modification"",""修正、変更"",""改善のために一部を作り変えること。"",""Minor modifications were made to the design."",""デザインに小さな修正が加えられました。"""
"800,""Momentum"",""勢い、はずみ"",""活動が進行するにつれて増していく勢い。"",""The campaign is gaining momentum."",""キャンペーンは勢いを増しています。"""
"900,""Stringent"",""厳格な"",""規律が非常にタイトな状態。"",""The airport has stringent security."",""空港は厳格なセキュリティをとっています。"""
"900,""Prerequisite"",""必須条件"",""何かをする前に必要な条件。"",""A degree is a prerequisite for this position."",""学位はこの職種の必須条件です。"""
"900,""Discretion"",""裁量、判断"",""自分の判断で決めて良い権利。"",""Bonus amounts are at the manager's discretion."",""ボーナス額はマネージャーの裁量によります。"""
"900,""Mitigate"",""和らげる"",""リスクや被害を小さくすること。"",""We need a plan to mitigate the risk."",""リスクを軽減する計画が必要です。"""
